Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
100,rectangle_java.jpg,87,17798.99900000001,204.58619540229898
100,mupliple_choice_rectangle.jpg,63,14998.54,238.0720634920635
100,vehicle_java.jpg,481,105011.72900000022,218.31960291060338
100,mupliple_choice_vehicle.jpg,91,16578.963000000003,182.18640659340664
101,rectangle_java2.jpg,191,35183.589,184.2072722513089
101,mupliple_choice_rectangle.jpg,114,26794.433999999983,235.03889473684197
101,vehicle_java2.jpg,826,173778.9670000001,210.38615859564175
101,mupliple_choice_vehicle.jpg,138,25983.70299999999,188.28770289855066
102,vehicle_java.jpg,8,749.0979999999973,93.63724999999967
102,mupliple_choice_vehicle.jpg,119,21588.995999999956,181.42013445378115
102,rectangle_java.jpg,69,6439.4329999999945,93.3251159420289
102,mupliple_choice_rectangle.jpg,13,1339.8480000000025,103.06523076923096
103,vehicle_java.jpg,239,39365.46599999999,164.70906276150626
103,mupliple_choice_vehicle.jpg,0,0.0,0.0
103,rectangle_java.jpg,212,23038.86200000001,108.6738773584906
103,mupliple_choice_rectangle.jpg,57,5102.57799999999,89.51891228070158
104,rectangle_java.jpg,106,20776.310999999998,196.00293396226414
104,mupliple_choice_rectangle.jpg,143,26307.701999999972,183.96994405594387
104,vehicle_java.jpg,65,13306.95200000002,204.72233846153875
104,mupliple_choice_vehicle.jpg,183,30933.54100000001,169.03574316939896
105,rectangle_java2.jpg,140,31183.994000000002,222.7428142857143
105,mupliple_choice_rectangle.jpg,111,28381.623,255.6902972972973
105,vehicle_java2.jpg,140,35096.62599999999,250.69018571428563
105,mupliple_choice_vehicle.jpg,127,25002.038,196.8664409448819
106,vehicle_java2.jpg,385,61724.05200000015,160.3222129870134
106,mupliple_choice_vehicle.jpg,128,21366.735000000004,166.92761718750003
106,rectangle_java2.jpg,132,18958.23899999999,143.62302272727266
106,mupliple_choice_rectangle.jpg,229,31409.437999999995,137.1591179039301
107,rectangle_java.jpg,232,54102.19799999999,233.19912931034477
107,mupliple_choice_rectangle.jpg,50,11663.577999999992,233.27155999999985
107,vehicle_java.jpg,50,9068.986999999988,181.37973999999977
107,mupliple_choice_vehicle.jpg,66,12002.866999999993,181.8616212121211
108,vehicle_java2.jpg,139,28350.608,203.96120863309352
108,mupliple_choice_vehicle.jpg,23,5559.547999999996,241.7194782608694
108,rectangle_java2.jpg,176,36357.28900000005,206.57550568181844
108,mupliple_choice_rectangle.jpg,21,5139.742,244.74961904761906
109,vehicle_python.jpg,134,29118.449,217.30185820895522
109,mupliple_choice_vehicle.jpg,96,22102.093999999986,230.23014583333318
109,rectangle_python.jpg,137,29917.96400000001,218.37929927007306
109,mupliple_choice_rectangle.jpg,86,18618.683999999994,216.49632558139527
10,rectangle_java.jpg,115,28705.809999999994,249.61573913043472
10,mupliple_choice_rectangle.jpg,59,16366.683999999994,277.4014237288134
10,vehicle_java.jpg,130,34477.11499999999,265.20857692307686
10,mupliple_choice_vehicle.jpg,60,14946.925000000008,249.11541666666682
110,rectangle_java2.jpg,120,28301.866999999995,235.84889166666662
110,mupliple_choice_rectangle.jpg,94,24486.073,260.49013829787236
110,vehicle_java2.jpg,105,23905.524,227.67165714285716
110,mupliple_choice_vehicle.jpg,75,13523.167000000001,180.30889333333334
111,vehicle_java.jpg,173,22710.709999999985,131.2757803468207
111,mupliple_choice_vehicle.jpg,61,5887.626000000009,96.51845901639359
111,rectangle_java.jpg,44,5186.411999999998,117.87299999999996
111,mupliple_choice_rectangle.jpg,45,5399.733000000006,119.9940666666668
112,rectangle_java2.jpg,157,43438.82599999999,276.6804203821655
112,mupliple_choice_rectangle.jpg,71,21052.887999999995,296.5195492957746
112,vehicle_java2.jpg,135,46688.80200000005,345.8429777777781
112,mupliple_choice_vehicle.jpg,73,21099.57799999998,289.0353150684929
113,rectangle_java.jpg,332,65819.90499999998,198.25272590361442
113,mupliple_choice_rectangle.jpg,553,131230.976,237.30737070524413
113,vehicle_java.jpg,257,51825.651000000005,201.65622957198445
113,mupliple_choice_vehicle.jpg,79,10551.431999999993,133.56243037974676
114,rectangle_java2.jpg,83,15654.715000000007,188.61102409638562
114,mupliple_choice_rectangle.jpg,121,26373.375,217.96177685950414
114,vehicle_java2.jpg,108,21974.481,203.46741666666665
114,mupliple_choice_vehicle.jpg,66,8957.976999999999,135.72692424242422
115,rectangle_java2.jpg,119,30830.813999999995,259.08247058823525
115,mupliple_choice_rectangle.jpg,108,32073.649999999998,296.9782407407407
115,vehicle_java2.jpg,281,59910.28199999996,213.2038505338077
115,mupliple_choice_vehicle.jpg,163,34709.46699999999,212.94151533742325
116,vehicle_java2.jpg,162,39693.37500000003,245.0208333333335
116,mupliple_choice_vehicle.jpg,56,15170.593999999997,270.9034642857142
116,rectangle_java2.jpg,109,26239.25999999999,240.72715596330266
116,mupliple_choice_rectangle.jpg,27,5396.411,199.86707407407408
117,vehicle_java2.jpg,336,76772.71999999986,228.49023809523766
117,mupliple_choice_vehicle.jpg,129,34014.04800000002,263.67479069767455
117,rectangle_java2.jpg,316,65874.04399999995,208.46216455696188
117,mupliple_choice_rectangle.jpg,47,11465.780000000004,243.9527659574469
118,rectangle_java.jpg,228,54067.96200000001,237.14018421052634
118,mupliple_choice_rectangle.jpg,41,10703.614999999998,261.0637804878048
118,vehicle_java.jpg,125,29765.5,238.124
