Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
100,rectangle_java.jpg,78,16541.70599999999,212.07315384615373
100,mupliple_choice_rectangle.jpg,68,13586.745999999996,199.80508823529405
100,vehicle_java.jpg,503,96597.2920000002,192.04233001988112
100,mupliple_choice_vehicle.jpg,91,16578.963000000003,182.18640659340664
101,rectangle_java2.jpg,203,30063.70799999999,148.09708374384232
101,mupliple_choice_rectangle.jpg,136,24386.419999999987,179.3119117647058
101,vehicle_java2.jpg,894,158203.10300000035,176.96096532438517
101,mupliple_choice_vehicle.jpg,138,25983.70299999999,188.28770289855066
102,vehicle_java.jpg,4,389.924,97.481
102,mupliple_choice_vehicle.jpg,119,19658.277999999947,165.19561344537772
102,rectangle_java.jpg,28,3315.7570000000087,118.41989285714317
102,mupliple_choice_rectangle.jpg,13,1339.8480000000025,103.06523076923096
103,vehicle_java.jpg,187,31110.74600000002,166.3676256684493
103,mupliple_choice_vehicle.jpg,0,0.0,0.0
103,rectangle_java.jpg,110,12193.409999999996,110.84918181818179
103,mupliple_choice_rectangle.jpg,57,5102.57799999999,89.51891228070158
104,rectangle_java.jpg,88,16322.087999999985,185.47827272727255
104,mupliple_choice_rectangle.jpg,131,21362.929999999982,163.0758015267174
104,vehicle_java.jpg,40,8691.454000000032,217.28635000000082
104,mupliple_choice_vehicle.jpg,183,30933.54100000001,169.03574316939896
105,rectangle_java2.jpg,147,27076.552,184.194231292517
105,mupliple_choice_rectangle.jpg,123,26721.918,217.25136585365854
105,vehicle_java2.jpg,158,32008.786999999982,202.58725949367079
105,mupliple_choice_vehicle.jpg,127,25002.038,196.8664409448819
106,vehicle_java2.jpg,317,45292.660000000076,142.8790536277605
106,mupliple_choice_vehicle.jpg,119,17642.671000000006,148.25773949579838
106,rectangle_java2.jpg,97,12574.193000000001,129.6308556701031
106,mupliple_choice_rectangle.jpg,229,31409.437999999995,137.1591179039301
107,rectangle_java.jpg,247,50958.399000000005,206.30930769230773
107,mupliple_choice_rectangle.jpg,54,11067.046999999993,204.94531481481468
