Subject,Sex,TrialID,Age,Image,CategoryName,Category,CategoryNum,list_size,Likert_list_size,working_size,Likert_working_size,total_size,Likert_total_size,FixationsCount,AvgFixDuration,AvgSaccadeLength,AverageSaccadeVelocity,TotalFixationTime,AvgSaccadeDistance,RegressionNum,StimulusType,tree_depth,left_discrepaNAcy,right_discrepaNAcy
S151,M,24,21,8,List,L,1,6.5,1,16,4,12,1,36,222.8888889,NA,6.102124,NA,NA,0,ainsert,NA,NA,NA
S151,M,71,21,25,List,L,1,13,3,6,1,13,1,63,234.6507937,155.5574,2.635754,NA,NA,0,ainsert,5,5,1
S151,M,78,21,28,List,L,1,14,3,8,2,14,2,NA,304.5327103,85.6987,1.761243,NA,56.91221174,0,ainsert,4,1,1
S151,M,61,21,21,List,L,1,14,3,10,2,14,2,70,196.1571429,106.6487,1.75807,NA,NA,0,ainsert,NA,NA,NA
S151,M,34,21,11,List,L,1,17,4,13,3,17,3,13,163,NA,4.671952,250,NA,0,ainsert,NA,NA,NA
S151,M,40,21,14,List,L,1,19,4,12,3,19,3,28,250.2857143,119.9756,2.206397,NA,NA,0,ainsert,NA,NA,NA
S151,M,37,21,12,List,L,1,19,4,15,4,19,3,3,NA,23.43603,1.424533,NA,NA,0,ainsert,NA,NA,NA
S151,M,75,21,26,List,L,1,19,4,18,4,19,3,58,179.137931,126.3048,1.995731,NA,110.1738224,0,ainsert,5,1,1
S151,M,86,21,30,List,L,1,10,2,7,2,10,2,45,NA,89.02364,1.951012,NA,109.9608609,0,ainsert,5,2,1
S151,M,15,21,6,List,L,1,14,3,2,1,14,2,17,241.4117647,NA,4.42904,NA,NA,0,bubble,NA,NA,NA
S151,M,13,21,5,List,L,1,15,3,2,1,15,2,43,281.3488372,NA,5.300242,NA,NA,0,bubble,NA,NA,NA
S151,M,82,21,29,List,L,1,16,4,2,1,16,2,19,151.1052632,172.0952,0.9793452,NA,NA,0,bubble,5,1,4
S151,M,43,21,15,List,L,1,19,4,12,3,19,3,57,259.245614,68.29762,1.710902,1750,NA,0,bubble,NA,NA,NA
S151,M,50,21,17,List,L,1,11,2,14,3,11,1,66,284.6969697,129.2185,2.396385,NA,54.82843,1,merge,NA,NA,NA
S151,M,69,21,23,List,L,1,6.5,1,6,1,13,1,NA,256.9508197,81.02427,1.891004,NA,NA,0,merge,NA,NA,NA
S151,M,27,21,10,List,L,1,6.5,1,7,2,13,1,38,190.0789474,NA,5.220117,NA,NA,0,merge,NA,NA,NA
S151,M,59,21,20,List,L,1,6.5,1,7,2,13,1,21,NA,115.9191,1.413744,NA,NA,0,merge,NA,NA,NA
S151,M,77,21,27,List,L,1,6.5,1,7,2,13,1,36,208.0833333,133.3835,1.490858,NA,NA,0,merge,6,1,1
S151,M,2,21,2,List,L,1,7,1,6,1,14,2,57,170.6315789,121.1248,1.270077,NA,101.5984855,0,merge,NA,NA,NA
S151,M,46,21,16,List,L,1,15,3,2,1,15,2,39,148.8461538,147.7761,1.651138,NA,NA,0,merge,NA,NA,NA
S151,M,38,21,13,List,L,1,8.9,1,7,2,17,3,32,210.59375,NA,3.958711,167,NA,0,merge,NA,NA,NA
S151,M,70,21,24,List,L,1,9.5,2,5,1,19,3,5,NA,NA,2.560613,NA,NA,0,merge,NA,NA,NA
S151,M,1,21,1,List,L,1,10.5,2,7,2,21,3,15,NA,NA,15.90248,250,82.48711395,0,merge,NA,NA,NA
S151,M,58,21,19,List,L,1,10,2,15,4,10,1,3,NA,NA,4.638278,NA,NA,0,swap1,NA,NA,NA
S151,M,6,21,4,List,L,1,14,3,3,1,14,2,49,228.7346939,230.7624,4.233702,NA,NA,0,swap1,NA,NA,NA
S151,M,20,21,7,List,L,1,15,3,16,4,15,2,33,220.3333333,NA,7.547822,NA,NA,0,swap1,NA,NA,NA
S151,M,64,21,22,List,L,1,11,2,15,4,11,1,14,NA,NA,8.519506,NA,NA,0,swap2,NA,NA,NA
S151,M,4,21,3,List,L,1,16,4,28,5,16,2,19,NA,277.8463,2.464422,NA,NA,0,swap2,NA,NA,NA
