Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
151, 1.BMP,97,25729.800000000076,265.25567010309356
151, 2.BMP,53,11900.500000000058,224.5377358490577
151, 31.BMP,21,1434.7000000000116,68.31904761904818
151, 3.BMP,22,1684.8000000000466,76.5818181818203
151, 32.BMP,17,1285.0,75.58823529411765
151, 4.BMP,17,1301.2999999999884,76.54705882352873
151, 61.BMP,13,1151.4000000000233,88.56923076923256
151, 62.BMP,14,1034.5,73.89285714285714
151, 33.BMP,54,4386.79999999993,81.23703703703575
151, 63.BMP,3,116.69999999995343,38.89999999998448
151, 64.BMP,15,1735.2999999998137,115.68666666665425
151, 65.BMP,9,867.5999999997439,96.39999999997154
151, 5.BMP,15,934.7999999999302,62.319999999995346
151, 66.BMP,9,700.9000000003725,77.87777777781918
151, 6.BMP,14,1001.0000000003492,71.50000000002494
151, 67.BMP,12,834.5999999999767,69.54999999999806
151, 68.BMP,13,1134.2000000003027,87.24615384617712
151, 34.BMP,21,1718.5000000002328,81.83333333334443
151, 69.BMP,7,450.39999999990687,64.34285714284384
151, 7.BMP,27,3019.7999999998137,111.84444444443754
151, 35.BMP,29,2519.5000000003492,86.87931034483962
151, 36.BMP,22,1868.7999999998137,84.94545454544608
151, 37.BMP,24,1718.1999999999534,71.59166666666472
151, 8.BMP,11,667.4000000002561,60.672727272750556
151, 9.BMP,28,2302.700000000419,82.23928571430068
151, 38.BMP,42,3336.6999999999534,79.44523809523699
151, 10.BMP,34,2452.800000000745,72.14117647061015
151, 70.BMP,31,2685.6999999999534,86.63548387096624
151, 39.BMP,34,2936.3000000002794,86.36176470589056
151, 40.BMP,20,1501.299999999348,75.0649999999674
151, 71.BMP,10,784.3999999999069,78.43999999999069
151, 72.BMP,14,1384.5000000002328,98.89285714287378
151, 41.BMP,37,3803.8000000002794,102.80540540541296
151, 11.BMP,26,2870.2999999988824,110.39615384611086
151, 42.BMP,29,2669.399999999441,92.04827586204969
151, 43.BMP,22,2018.2000000001863,91.7363636363721
151, 12.BMP,31,3904.5999999998603,125.95483870967291
151, 13.BMP,44,3886.899999999674,88.33863636362895
151, 73.BMP,7,767.4999999997672,109.64285714282389
151, 14.BMP,15,1318.200000000419,87.88000000002793
151, 74.BMP,12,750.8000000005122,62.56666666670935
151, 75.BMP,7,467.20000000018626,66.74285714288375
151, 15.BMP,27,1951.699999999255,72.28518518515759
151, 76.BMP,15,1384.9000000001397,92.32666666667598
151, 44.BMP,32,2603.0999999996275,81.34687499998836
151, 16.BMP,31,3018.5999999993946,97.37419354836757
151, 45.BMP,61,6190.300000000279,101.48032786885705
151, 77.BMP,5,417.00000000023283,83.40000000004656
151, 46.BMP,30,2736.500000000233,91.21666666667443
151, 17.BMP,25,2635.5999999998603,105.42399999999441
151, 18.BMP,24,2268.900000000838,94.53750000003492
151, 78.BMP,7,834.2999999998137,119.18571428568768
151, 79.BMP,10,750.8999999994412,75.08999999994413
151, 47.BMP,69,7974.199999999721,115.56811594202493
151, 48.BMP,25,2203.0000000004657,88.12000000001862
151, 49.BMP,19,1434.7999999998137,75.5157894736744
151, 50.BMP,55,5905.799999998882,107.3781818181615
151, 19.BMP,9,700.8000000002794,77.86666666669771
