File Name,Saccades,Fixations,Total Fixation Duration,Average Fixation Duration
P100.tsv,,612,41766.666666666664,68.24618736383444
P114.tsv,,110,7058.333333333329,64.16666666666667
P131.tsv,,113,7399.999999999995,65.48672566371683
P157.tsv,,744,53475.0000000001,71.875
P214.tsv,,1357,104574.99999999978,77.06337509211495
P237.tsv,,305,20141.66666666667,66.03825136612024
P267.tsv,,768,56441.6666666668,73.49175347222223
P270.tsv,,1223,92908.33333333311,75.96756609430363
P316.tsv,,15,958.3333333333335,63.88888888888891
P323.tsv,,140,9716.666666666662,69.40476190476191
P365.tsv,,952,68216.66666666682,71.656162464986
P370.tsv,,723,51941.66666666682,71.84186260949747
P402.tsv,,1269,94799.99999999978,74.70449172576832
P450.tsv,,180,11783.33333333334,65.46296296296296
P459.tsv,,167,11316.666666666668,67.76447105788422
P469.tsv,,200,13308.333333333341,66.54166666666667
P513.tsv,,477,34474.99999999997,72.27463312368974
P536.tsv,,237,16608.333333333347,70.07735583684952
P561.tsv,,114,7216.666666666662,63.304093567251456
P611.tsv,,726,50491.66666666673,69.54775022956842
P642.tsv,,162,10725.000000000002,66.20370370370371
P645.tsv,,321,22099.99999999998,68.84735202492212
P653.tsv,,47,3050.000000000001,64.89361702127661
P708.tsv,,687,51075.0,74.34497816593887
P751.tsv,,1586,119016.66666666634,75.04203446826396
P758.tsv,,169,11300.00000000001,66.86390532544378
P812.tsv,,447,30474.99999999996,68.17673378076063
P819.tsv,,1851,153741.66666666692,83.05870700522242
P842.tsv,,376,24983.333333333303,66.44503546099291
P900.tsv,,1323,99999.99999999978,75.58578987150416
