# File: ogama_saccades2.txt
# Created: Donnerstag, 28. September 2023,15:08:00
# with: OGAMA Version: 5.1.7759
# Contents: GazeFixations table.
# Applies to Projekt:s22
#
SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	
P100	0	0	1	351	42	396,9664	9,451582	0						No image file specified		0	
P100	0	0	2	610	33	188,245	5,704393	0						No image file specified		0	
P100	0	0	3	918	396	188,43	0,4758334	-1						No image file specified		0	
P100	0	0	4	1423	50	624,5324	12,49065	0						No image file specified		0	
P100	0	0	5	1581	50	663,7923	13,27585	0						No image file specified		0	
P100	0	0	6	1773	33	391,3279	11,85842	0						No image file specified		0	
P100	0	0	7	2156	33	246,713	7,47615	0						No image file specified		0	
P100	0	0	8	2464	25	171,4819	6,859275	0						No image file specified		0	
P100	0	0	9	2856	42	84,29382	2,006996	0						No image file specified		0	
P100	0	0	10	3098	16	106,6084	6,663024	0						No image file specified		0	
P100	0	0	11	3489	25	185,9737	7,43895	0						No image file specified		0	
P100	0	0	12	3714	42	184,3652	4,389648	0						No image file specified		0	
P100	0	0	13	3906	42	161,887	3,854451	0						No image file specified		0	
P100	0	0	14	4139	125	779,0583	6,232467	0						No image file specified		0	
P100	0	0	15	4389	17	62,65387	3,685522	0						No image file specified		0	
P100	0	0	16	4672	92	278,2316	3,024256	0						No image file specified		0	
P100	0	0	17	4947	59	153,6868	2,604861	0						No image file specified		0	
P100	0	0	18	5147	17	88,7142	5,218482	0						No image file specified		0	
P100	0	0	19	5356	183	202,3082	1,10551	0						No image file specified		0	
P100	0	0	20	5772	17	85,28073	5,016514	0						No image file specified		0	
P100	0	0	21	5889	75	252,4563	3,366084	0						No image file specified		0	
P100	0	0	22	6206	41	21,35819	0,5209315	0						No image file specified		0	
P100	0	0	23	6297	75	294,8012	3,930682	-1						No image file specified		0	
P100	0	0	24	6522	34	30,47554	0,8963395	0						No image file specified		0	
P100	0	0	25	6606	50	160,3636	3,207273	0						No image file specified		0	
P100	0	0	26	6856	41	258,1861	6,297221	0						No image file specified		0	
P100	0	0	27	7081	8	34,4878	4,310975	0						No image file specified		0	
P100	0	0	28	7156	33	63,06445	1,911044	0						No image file specified		0	
P100	0	0	29	7297	133	922,7565	6,938019	-1						No image file specified		0	
P100	0	0	30	7639	75	345,7203	4,609604	0						No image file specified		0	
P100	0	0	31	7872	25	94,4136	3,776544	0						No image file specified		0	
P100	0	0	32	7947	333	36,53602	0,1097178	-1						No image file specified		0	
P100	0	0	33	8439	16	72,30898	4,519311	0						No image file specified		0	
P100	0	0	34	9380	25	90,53804	3,621522	0						No image file specified		0	
