File,Saccades Duration,Avgerage Saccades Duration
P100,329092,115.8774647887324
P114,147017,179.5079365079365
P131,246438,204.00496688741723
P157,156562,86.0703683342496
P214,225648,112.26268656716418
P237,278835,111.22257678500199
P267,156361,89.96605293440736
P270,276474,101.30963722975449
P316,277348,591.3603411513859
P323,204446,246.91545893719805
P365,102392,64.55989911727616
P370,110385,89.45299837925445
P402,224676,95.68824531516184
P450,144217,126.95158450704226
P459,432091,327.34166666666664
P469,193633,139.8072202166065
P513,95013,74.9313880126183
P536,206083,200.08058252427185
P561,367973,218.51128266033254
P611,118961,101.58923996584116
P642,132267,128.78967867575463
P645,215417,149.5951388888889
P653,258381,271.40861344537814
P708,130834,118.72413793103448
P751,170201,62.0040072859745
P758,266953,245.13590449954086
P812,149404,88.50947867298578
P819,211519,97.97081982399258
P842,139237,75.96126568466994
P900,156422,82.71919619249074
