File Name,Saccade Count,Total Saccade Duration,Average Saccade Duration
P100.tsv,1173,921514,785.6044330775788
P114.tsv,308,313829,1018.9253246753246
P131.tsv,291,483984,1663.1752577319587
P157.tsv,336,544167,1619.544642857143
P214.tsv,679,749440,1103.740795287187
P237.tsv,547,782713,1430.9195612431445
P267.tsv,414,569643,1375.9492753623188
P270.tsv,853,899442,1054.4454865181713
P316.tsv,156,424430,2720.7051282051284
P323.tsv,349,377388,1081.3409742120343
P365.tsv,412,500691,1215.2694174757282
P370.tsv,334,411428,1231.820359281437
P402.tsv,742,738307,995.022911051213
P450.tsv,230,363368,1579.8608695652174
P459.tsv,704,799317,1135.393465909091
P469.tsv,375,513002,1368.0053333333333
P513.tsv,242,352738,1457.595041322314
P536.tsv,360,481634,1337.8722222222223
P561.tsv,483,682863,1413.7950310559006
P611.tsv,278,417410,1501.474820143885
P642.tsv,231,390305,1689.6320346320347
P645.tsv,309,530188,1715.8187702265373
P653.tsv,275,489824,1781.1781818181819
P708.tsv,355,411093,1158.0084507042254
P751.tsv,599,784188,1309.161936560935
P758.tsv,390,557110,1428.4871794871794
P812.tsv,349,531087,1521.7392550143265
P819.tsv,805,675741,839.4298136645963
P842.tsv,325,510194,1569.8276923076924
P900.tsv,599,627856,1048.1736227045076
