File Name,Saccades,Fixations,Fixation Duration,Saccade Duration,Average Saccade Duration,Average Fixation Duration
P100.tsv,2970.0,8901.0,480676,80494,27.102356902356902,54.002471632400855
P114.tsv,934.0,2807.0,147388,24469,26.198072805139187,52.50730317064482
P131.tsv,1331.0,5057.0,191336,38120,28.640120210368146,37.835871069804234
P157.tsv,1899.0,3938.0,348104,52390,27.58820431806214,88.39614017267648
P214.tsv,2178.0,4861.0,424945,57396,26.352617079889807,87.41925529726393
P237.tsv,2595.0,8338.0,370787,69037,26.603853564547205,44.469537059246825
P267.tsv,1895.0,4160.0,366252,52288,27.592612137203165,88.04134615384615
P270.tsv,2973.0,7089.0,536216,77130,25.94349142280525,75.64056989702355
P316.tsv,629.0,3777.0,76006,15899,25.276629570747218,20.123378342599946
P323.tsv,905.0,3457.0,143876,23849,26.352486187845304,41.618744576222156
P365.tsv,1731.0,3133.0,362687,51587,29.801848642403236,115.76348547717842
P370.tsv,1274.0,2425.0,256845,38151,29.945839874411302,105.91546391752577
P402.tsv,2480.0,6253.0,421034,74800,30.161290322580644,67.33312010235088
P450.tsv,1203.0,3634.0,185581,35569,29.56691604322527,51.06796917996698
P459.tsv,1477.0,8827.0,206081,38687,26.192958700067706,23.346663645632717
P469.tsv,1662.0,4674.0,289593,39139,23.54933814681107,61.958279845956355
P513.tsv,1254.0,2696.0,218014,39161,31.228867623604465,80.86572700296736
P536.tsv,1291.0,4499.0,225783,33218,25.730441518202944,50.1851522560569
P561.tsv,1763.0,8287.0,237171,46536,26.39591605218378,28.619645227464705
P611.tsv,1287.0,2460.0,268719,41457,32.21212121212121,109.23536585365854
P642.tsv,1257.0,3168.0,220171,33140,26.364359586316628,69.49842171717172
P645.tsv,1778.0,5382.0,289072,49770,27.992125984251967,53.71088814567076
P653.tsv,1199.0,5915.0,155650,30742,25.639699749791493,26.314454775993237
P708.tsv,1185.0,3023.0,244048,32911,27.77299578059072,80.73040026463778
P751.tsv,2881.0,5336.0,558417,84649,29.381811870878167,104.65086206896552
P758.tsv,1403.0,6135.0,215887,36475,25.997861724875268,35.189405052974735
P812.tsv,1887.0,5047.0,313256,50883,26.965023847376788,62.06776302754111
P819.tsv,2160.0,4184.0,394164,60534,28.025,94.2074569789675
P842.tsv,1892.0,4237.0,307517,54252,28.674418604651162,72.57894736842105
P900.tsv,2069.0,4022.0,416780,60829,29.400193330111165,103.62506215813028
