Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
151, 1.BMP,36,29578.300000000047,821.6194444444458
151, 2.BMP,9,14764.199999999953,1640.4666666666615
151, 31.BMP,44,3904.3999999998487,88.7363636363602
151, 3.BMP,53,4370.500000000058,82.46226415094449
151, 32.BMP,41,3703.0999999999185,90.31951219511997
151, 4.BMP,38,3286.0,86.47368421052632
151, 61.BMP,26,2436.100000000035,93.69615384615518
151, 62.BMP,18,2102.5999999999185,116.81111111110658
151, 33.BMP,68,7156.600000000268,105.24411764706277
151, 63.BMP,8,450.4000000000233,56.30000000000291
151, 64.BMP,30,3203.0,106.76666666666667
151, 65.BMP,12,1584.7999999999302,132.06666666666084
151, 5.BMP,30,2669.7000000003027,88.99000000001008
151, 66.BMP,12,1167.5999999999767,97.29999999999806
151, 6.BMP,19,1751.8000000006286,92.20000000003309
151, 67.BMP,18,1735.3000000002794,96.40555555557108
151, 68.BMP,24,2292.5000000003492,95.52083333334788
151, 34.BMP,34,4020.3000000000466,118.2441176470602
151, 69.BMP,14,1034.3000000000466,73.87857142857476
151, 7.BMP,46,5288.100000000675,114.9586956521886
151, 35.BMP,52,4771.3000000008615,91.7557692307858
151, 36.BMP,45,4337.29999999993,96.38444444444289
151, 37.BMP,44,3870.1999999993714,87.95909090907662
151, 8.BMP,33,2436.1000000004424,73.82121212122553
151, 9.BMP,55,4955.60000000149,90.10181818184527
151, 38.BMP,54,6122.999999999767,113.38888888888458
151, 10.BMP,70,5888.699999999721,84.12428571428173
151, 70.BMP,62,5739.700000001118,92.57580645163092
151, 39.BMP,60,6272.600000000559,104.54333333334264
151, 40.BMP,32,2853.1999999997206,89.16249999999127
151, 71.BMP,14,1418.3000000000466,101.30714285714619
151, 72.BMP,16,2068.799999999581,129.2999999999738
151, 41.BMP,54,5989.100000000326,110.9092592592653
151, 11.BMP,36,4988.299999999348,138.5638888888708
151, 42.BMP,41,4555.099999998696,111.0999999999682
151, 43.BMP,23,2602.0999999998603,113.13478260868958
151, 12.BMP,51,6072.600000000326,119.0705882353005
151, 13.BMP,46,5355.199999999721,116.41739130434175
151, 73.BMP,7,1017.5999999998603,145.37142857140861
151, 14.BMP,20,2602.700000000419,130.13500000002097
151, 74.BMP,17,1301.3000000002794,76.54705882354585
151, 75.BMP,11,817.2999999998137,74.29999999998307
151, 15.BMP,36,3102.899999999907,86.19166666666408
151, 76.BMP,19,1985.3000000002794,104.48947368422523
151, 44.BMP,43,4971.599999999395,115.61860465114871
151, 16.BMP,34,3502.1999999994878,103.00588235292611
151, 45.BMP,69,8174.799999999814,118.47536231883788
151, 77.BMP,9,883.9999999997672,98.22222222219635
151, 46.BMP,33,3987.1999999994878,120.8242424242269
151, 17.BMP,33,3920.5,118.8030303030303
151, 18.BMP,38,4003.6999999997206,105.36052631578212
151, 78.BMP,12,1117.6999999997206,93.14166666664339
151, 79.BMP,10,1051.0999999991618,105.10999999991618
151, 47.BMP,67,12212.400000001304,182.2746268656911
151, 48.BMP,27,3737.499999998603,138.4259259258742
151, 49.BMP,19,2269.0000000004657,119.42105263160346
151, 50.BMP,49,8173.399999997579,166.80408163260364
151, 19.BMP,14,1267.6999999997206,90.54999999998005
151, 20.BMP,35,3887.0000000009313,111.05714285716947
151, 80.BMP,8,584.4000000003725,73.05000000004657
151, 21.BMP,25,3620.4999999995343,144.81999999998138
151, 81.BMP,18,2101.9000000003725,116.77222222224292
151, 51.BMP,39,3018.9999999995343,77.41025641024447
151, 22.BMP,31,2452.2000000015832,79.10322580650269
151, 52.BMP,25,1868.3000000012107,74.73200000004843
151, 82.BMP,0,0.0,0.0
151, 53.BMP,8,450.8000000002794,56.350000000034925
151, 54.BMP,24,2052.2000000001863,85.5083333333411
151, 23.BMP,27,2101.9999999995343,77.85185185183461
151, 24.BMP,67,6857.099999997765,102.34477611936963
151, 25.BMP,38,4037.3000000002794,106.24473684211262
151, 83.BMP,5,650.8999999999069,130.17999999998136
151, 84.BMP,8,701.0,87.625
151, 55.BMP,84,8258.500000002328,98.31547619050392
151, 26.BMP,53,4955.799999997485,93.50566037731105
151, 85.BMP,21,1951.999999998603,92.95238095231443
151, 27.BMP,52,6489.500000001397,124.79807692310379
151, 28.BMP,69,6723.4000000017695,97.44057971017057
151, 56.BMP,37,3870.1999999997206,104.59999999999245
151, 86.BMP,24,2101.5999999982305,87.56666666659294
151, 87.BMP,31,5038.599999999162,162.5354838709407
151, 29.BMP,34,4170.499999997672,122.66176470581388
151, 57.BMP,55,4788.5999999996275,87.06545454544778
151, 88.BMP,11,783.7000000001863,71.24545454547147
151, 58.BMP,46,4604.199999997858,100.09130434777953
151, 30.BMP,18,2051.899999999441,113.9944444444134
151, 89.BMP,8,550.6999999997206,68.83749999996508
151, 59.BMP,52,5005.999999997206,96.26923076917704
151, 90.BMP,17,1251.6999999997206,73.62941176468945
151, 60.BMP,96,11094.80000000028,115.57083333333624
152, 31.BMP,94,10594.899999999965,112.71170212765921
152, 61.BMP,27,2719.999999999942,100.74074074073859
152, 62.BMP,26,3219.399999999994,123.8230769230767
152, 63.BMP,19,2385.399999999994,125.54736842105233
153, 1.BMP,109,13863.200000000026,127.18532110091768
153, 61.BMP,14,1951.4000000000378,139.385714285717
153, 2.BMP,91,10694.200000000055,117.51868131868193
153, 62.BMP,21,2151.9000000001106,102.47142857143383
153, 31.BMP,34,7123.500000000349,209.51470588236322
153, 63.BMP,27,4254.100000000384,157.5592592592735
153, 32.BMP,76,11260.300000000163,148.1618421052653
