Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
151, 1.BMP,36,29578.300000000047,821.6194444444458
151, 2.BMP,52,24924.19999999972,479.3115384615331
151, 31.BMP,103,11728.599999999744,113.86990291261887
151, 3.BMP,85,6856.999999999767,80.67058823529138
151, 32.BMP,87,8274.29999999958,95.10689655171932
151, 4.BMP,115,12045.600000000151,104.74434782608827
151, 61.BMP,104,10177.0,97.85576923076923
151, 62.BMP,81,8792.799999999814,108.55308641975078
151, 33.BMP,68,7156.600000000268,105.24411764706277
151, 63.BMP,112,10075.500000000698,89.95982142857767
151, 64.BMP,70,7324.499999999884,104.63571428571262
151, 65.BMP,92,8791.799999999697,95.56304347825758
151, 5.BMP,109,10743.800000000978,98.5669724770732
151, 66.BMP,67,6556.59999999986,97.85970149253522
151, 6.BMP,96,9075.000000000116,94.53125000000121
151, 67.BMP,110,9509.500000000466,86.45000000000424
151, 68.BMP,93,9916.299999999814,106.6268817204281
151, 34.BMP,96,9543.099999999977,99.40729166666642
151, 69.BMP,84,8024.599999999511,95.53095238094656
151, 7.BMP,91,10059.200000000652,110.54065934066651
151, 35.BMP,97,9009.200000001234,92.87835051547664
151, 36.BMP,98,9609.599999999744,98.05714285714025
151, 37.BMP,104,8908.899999999907,85.6624999999991
151, 8.BMP,99,8776.100000000675,88.64747474748157
151, 9.BMP,111,10395.000000001164,93.64864864865913
151, 38.BMP,126,12029.200000000885,95.46984126984829
151, 10.BMP,104,8741.600000000093,84.05384615384705
151, 70.BMP,111,10126.500000001164,91.22972972974021
151, 39.BMP,131,12244.100000000559,93.46641221374472
151, 40.BMP,319,41676.399999999674,130.64702194357264
151, 71.BMP,94,13613.200000000186,144.82127659574667
151, 72.BMP,99,11712.499999999767,118.30808080807846
151, 41.BMP,113,12679.200000000186,112.20530973451493
151, 11.BMP,112,13947.600000000792,124.53214285714992
151, 42.BMP,78,9926.79999999865,127.26666666664936
151, 43.BMP,97,10208.699999999255,105.24432989689953
151, 12.BMP,93,10559.400000000605,113.54193548387748
151, 13.BMP,123,15749.09999999823,128.04146341461976
151, 73.BMP,106,14312.399999998743,135.0226415094221
151, 14.BMP,104,12996.200000000885,124.96346153847004
151, 74.BMP,99,9975.300000001444,100.76060606062065
151, 75.BMP,80,12145.200000000186,151.81500000000233
151, 15.BMP,70,6956.999999999534,99.38571428570764
151, 76.BMP,91,13279.399999999441,145.9274725274664
