Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
100,rectangle_java.jpg,89,17182.461999999978,193.0613707865166
100,mupliple_choice_rectangle.jpg,78,14178.701999999992,181.77823076923067
100,vehicle_java.jpg,541,98778.66000000024,182.58532347504664
100,mupliple_choice_vehicle.jpg,91,16578.963000000003,182.18640659340664
101,rectangle_java2.jpg,235,31855.742999999988,135.5563531914893
101,mupliple_choice_rectangle.jpg,148,25062.399999999983,169.34054054054042
101,vehicle_java2.jpg,975,162826.4420000004,167.00147897435937
101,mupliple_choice_vehicle.jpg,138,25983.70299999999,188.28770289855066
102,vehicle_java.jpg,5,441.90700000000015,88.38140000000003
102,mupliple_choice_vehicle.jpg,124,19946.077999999947,160.85546774193506
102,rectangle_java.jpg,47,4371.400000000003,93.00851063829795
102,mupliple_choice_rectangle.jpg,13,1339.8480000000025,103.06523076923096
103,vehicle_java.jpg,226,33361.394,147.61678761061947
103,mupliple_choice_vehicle.jpg,0,0.0,0.0
103,rectangle_java.jpg,168,15493.892999999971,92.22555357142839
103,mupliple_choice_rectangle.jpg,57,5102.57799999999,89.51891228070158
104,rectangle_java.jpg,106,17381.187999999987,163.9734716981131
104,mupliple_choice_rectangle.jpg,160,23024.38699999998,143.90241874999987
104,vehicle_java.jpg,59,9791.423000000026,165.95632203389874
104,mupliple_choice_vehicle.jpg,183,30933.54100000001,169.03574316939896
105,rectangle_java2.jpg,168,28316.448000000004,168.55028571428574
105,mupliple_choice_rectangle.jpg,135,27405.892000000007,203.00660740740747
105,vehicle_java2.jpg,168,32592.530999999988,194.00316071428566
105,mupliple_choice_vehicle.jpg,127,25002.038,196.8664409448819
106,vehicle_java2.jpg,410,50636.84100000012,123.50449024390272
106,mupliple_choice_vehicle.jpg,141,18902.628000000004,134.06119148936173
106,rectangle_java2.jpg,134,14721.898000000003,109.86491044776122
106,mupliple_choice_rectangle.jpg,229,31409.437999999995,137.1591179039301
107,rectangle_java.jpg,262,51858.36,197.93267175572518
107,mupliple_choice_rectangle.jpg,60,11399.118999999992,189.98531666666653
107,vehicle_java.jpg,58,8446.848999999987,145.63532758620667
107,mupliple_choice_vehicle.jpg,66,12002.866999999993,181.8616212121211
108,vehicle_java2.jpg,175,25618.55200000001,146.39172571428577
108,mupliple_choice_vehicle.jpg,26,5251.665999999997,201.98715384615375
108,rectangle_java2.jpg,204,32821.581,160.89010294117645
108,mupliple_choice_rectangle.jpg,21,5139.742,244.74961904761906
109,vehicle_python.jpg,143,27346.674000000003,191.23548251748252
109,mupliple_choice_vehicle.jpg,115,21066.16799999999,183.1840695652173
109,rectangle_python.jpg,153,28326.11099999998,185.13798039215672
109,mupliple_choice_rectangle.jpg,86,18618.683999999994,216.49632558139527
10,rectangle_java.jpg,137,27757.856999999978,202.61209489051078
10,mupliple_choice_rectangle.jpg,69,15738.728999999994,228.09752173913034
10,vehicle_java.jpg,150,33104.881,220.69920666666667
10,mupliple_choice_vehicle.jpg,60,14946.925000000008,249.11541666666682
110,rectangle_java2.jpg,141,27101.874999999993,192.21187943262407
110,mupliple_choice_rectangle.jpg,122,23618.01299999999,193.5902704918032
110,vehicle_java2.jpg,127,22494.959999999985,177.12566929133845
110,mupliple_choice_vehicle.jpg,75,13523.167000000001,180.30889333333334
111,vehicle_java.jpg,161,17874.335000000032,111.02071428571449
111,mupliple_choice_vehicle.jpg,46,3883.218000000006,84.41778260869579
111,rectangle_java.jpg,41,4309.5819999999985,105.11175609756094
111,mupliple_choice_rectangle.jpg,45,5399.733000000006,119.9940666666668
112,rectangle_java2.jpg,206,41033.38400000001,199.19118446601948
112,mupliple_choice_rectangle.jpg,84,20144.834999999992,239.8194642857142
112,vehicle_java2.jpg,159,42424.88400000004,266.823169811321
112,mupliple_choice_vehicle.jpg,73,21099.57799999998,289.0353150684929
113,rectangle_java.jpg,392,59580.20900000006,151.9903290816328
113,mupliple_choice_rectangle.jpg,711,122339.66499999985,172.06703938115308
113,vehicle_java.jpg,325,48057.74800000002,147.8699938461539
113,mupliple_choice_vehicle.jpg,79,10551.431999999993,133.56243037974676
114,rectangle_java2.jpg,97,14962.14699999998,154.2489381443297
114,mupliple_choice_rectangle.jpg,153,24021.306,157.002
114,vehicle_java2.jpg,126,20754.513000000014,164.71835714285726
114,mupliple_choice_vehicle.jpg,66,8957.976999999999,135.72692424242422
115,rectangle_java2.jpg,133,29875.459000000024,224.62751127819567
115,mupliple_choice_rectangle.jpg,128,31041.67799999999,242.5131093749999
115,vehicle_java2.jpg,303,56758.51099999995,187.321818481848
115,mupliple_choice_vehicle.jpg,163,34709.46699999999,212.94151533742325
116,vehicle_java2.jpg,193,38296.87500000003,198.42940414507788
116,mupliple_choice_vehicle.jpg,70,14418.886999999999,205.98409999999998
116,rectangle_java2.jpg,126,24918.451,197.76548412698415
116,mupliple_choice_rectangle.jpg,27,5396.411,199.86707407407408
117,vehicle_java2.jpg,375,71196.15499999993,189.85641333333314
117,mupliple_choice_vehicle.jpg,147,32013.916000000005,217.78174149659867
117,rectangle_java2.jpg,369,62251.7179999999,168.70384281842792
117,mupliple_choice_rectangle.jpg,47,11465.780000000004,243.9527659574469
118,rectangle_java.jpg,256,51092.11500000008,199.5785742187503
118,mupliple_choice_rectangle.jpg,50,10443.520000000004,208.87040000000007
118,vehicle_java.jpg,139,28581.695000000007,205.62370503597128
118,mupliple_choice_vehicle.jpg,82,16113.631999999994,196.5077073170731
119,rectangle_java.jpg,116,14303.192000000005,123.30337931034487
119,mupliple_choice_rectangle.jpg,38,5727.251,150.71713157894737
119,vehicle_java.jpg,96,9859.301999999996,102.70106249999996
119,mupliple_choice_vehicle.jpg,51,6599.851000000001,129.4088431372549
11,vehicle_java.jpg,254,35495.97200000002,139.7479212598426
11,mupliple_choice_vehicle.jpg,56,8151.775999999999,145.56742857142856
11,rectangle_java.jpg,222,32400.925999999963,145.95011711711695
