Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
100,rectangle_java.jpg,74,18755.985000000008,253.45925675675687
100,mupliple_choice_rectangle.jpg,58,15642.444000000003,269.69731034482766
100,vehicle_java.jpg,390,109679.78500000008,281.2302179487181
100,mupliple_choice_vehicle.jpg,91,16578.963000000003,182.18640659340664
101,rectangle_java2.jpg,161,37087.59499999998,230.35773291925452
101,mupliple_choice_rectangle.jpg,92,27602.254999999997,300.0245108695652
101,vehicle_java2.jpg,675,180396.25299999988,267.25370814814795
101,mupliple_choice_vehicle.jpg,138,25983.70299999999,188.28770289855066
102,vehicle_java.jpg,11,1000.4819999999977,90.95290909090888
102,mupliple_choice_vehicle.jpg,106,22630.855999999963,213.4986415094336
102,rectangle_java.jpg,92,8787.434000000003,95.51558695652177
102,mupliple_choice_rectangle.jpg,13,1339.8480000000025,103.06523076923096
103,vehicle_java.jpg,230,43770.209999999955,190.30526086956502
103,mupliple_choice_vehicle.jpg,0,0.0,0.0
103,rectangle_java.jpg,190,27827.315999999988,146.45955789473678
103,mupliple_choice_rectangle.jpg,57,5102.57799999999,89.51891228070158
104,rectangle_java.jpg,104,23071.654,221.8428269230769
104,mupliple_choice_rectangle.jpg,108,29311.039999999986,271.3985185185184
104,vehicle_java.jpg,67,15818.506999999992,236.09711940298496
104,mupliple_choice_vehicle.jpg,183,30933.54100000001,169.03574316939896
105,rectangle_java2.jpg,107,32567.783000000007,304.3718037383178
105,mupliple_choice_rectangle.jpg,82,29317.646999999994,357.5322804878048
105,vehicle_java2.jpg,111,36332.50399999997,327.3198558558556
105,mupliple_choice_vehicle.jpg,127,25002.038,196.8664409448819
106,vehicle_java2.jpg,296,68407.60200000004,231.10676351351367
106,mupliple_choice_vehicle.jpg,100,23414.28999999999,234.1428999999999
106,rectangle_java2.jpg,105,21510.42099999999,204.8611523809523
106,mupliple_choice_rectangle.jpg,229,31409.437999999995,137.1591179039301
107,rectangle_java.jpg,198,56054.624,283.10416161616166
107,mupliple_choice_rectangle.jpg,41,12303.59,300.08756097560973
107,vehicle_java.jpg,51,9879.10099999999,193.70786274509783
107,mupliple_choice_vehicle.jpg,66,12002.866999999993,181.8616212121211
108,vehicle_java2.jpg,121,29774.342000000004,246.06894214876036
108,mupliple_choice_vehicle.jpg,21,5667.584,269.88495238095237
108,rectangle_java2.jpg,149,38345.32200000002,257.35115436241625
108,mupliple_choice_rectangle.jpg,21,5139.742,244.74961904761906
109,vehicle_python.jpg,111,30590.171,275.5871261261261
109,mupliple_choice_vehicle.jpg,85,22806.164999999997,268.30782352941173
109,rectangle_python.jpg,118,31493.886,266.8973389830508
109,mupliple_choice_rectangle.jpg,86,18618.683999999994,216.49632558139527
10,rectangle_java.jpg,109,29599.14799999999,271.55181651376137
10,mupliple_choice_rectangle.jpg,49,16766.610999999997,342.1757346938775
10,vehicle_java.jpg,110,35064.906999999985,318.77188181818167
10,mupliple_choice_vehicle.jpg,60,14946.925000000008,249.11541666666682
110,rectangle_java2.jpg,96,28977.91200000003,301.8532500000003
110,mupliple_choice_rectangle.jpg,72,25129.960999999996,349.02723611111105
110,vehicle_java2.jpg,84,24320.744999999995,289.5326785714285
110,mupliple_choice_vehicle.jpg,75,13523.167000000001,180.30889333333334
111,vehicle_java.jpg,154,25114.938000000006,163.084012987013
111,mupliple_choice_vehicle.jpg,78,8440.609,108.2129358974359
111,rectangle_java.jpg,47,6475.452999999997,137.77559574468077
111,mupliple_choice_rectangle.jpg,45,5399.733000000006,119.9940666666668
112,rectangle_java2.jpg,129,44108.86999999996,341.9292248062012
112,mupliple_choice_rectangle.jpg,58,21448.545999999995,369.80251724137923
112,vehicle_java2.jpg,105,50523.09900000003,481.17237142857175
112,mupliple_choice_vehicle.jpg,73,21099.57799999998,289.0353150684929
113,rectangle_java.jpg,245,68595.72600000005,279.98255510204103
113,mupliple_choice_rectangle.jpg,410,136034.3379999999,331.79106829268267
113,vehicle_java.jpg,212,54309.439999999966,256.17660377358476
113,mupliple_choice_vehicle.jpg,79,10551.431999999993,133.56243037974676
114,rectangle_java2.jpg,72,16138.854000000001,224.15075000000002
114,mupliple_choice_rectangle.jpg,100,27225.515000000003,272.25515
114,vehicle_java2.jpg,94,22706.447000000004,241.55794680851068
114,mupliple_choice_vehicle.jpg,66,8957.976999999999,135.72692424242422
115,rectangle_java2.jpg,92,31552.020000000008,342.95673913043487
115,mupliple_choice_rectangle.jpg,83,32753.57900000001,394.62143373493984
115,vehicle_java2.jpg,219,61438.25399999998,280.5399726027396
115,mupliple_choice_vehicle.jpg,163,34709.46699999999,212.94151533742325
116,vehicle_java2.jpg,143,41020.75799999999,286.85844755244744
116,mupliple_choice_vehicle.jpg,50,15482.627,309.65254
116,rectangle_java2.jpg,83,26887.614000000005,323.94715662650606
116,mupliple_choice_rectangle.jpg,27,5396.411,199.86707407407408
117,vehicle_java2.jpg,270,78780.87699999995,291.78102592592575
