Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
100,rectangle_java.jpg,94,17382.262999999977,184.91769148936146
100,mupliple_choice_rectangle.jpg,87,14538.745999999992,167.11202298850566
100,vehicle_java.jpg,601,101223.55500000024,168.4252163061568
100,mupliple_choice_vehicle.jpg,91,16578.963000000003,182.18640659340664
101,rectangle_java2.jpg,275,33451.562999999995,121.64204727272725
101,mupliple_choice_rectangle.jpg,161,25606.347999999976,159.04563975155264
101,vehicle_java2.jpg,1065,166625.93100000027,156.45627323943688
101,mupliple_choice_vehicle.jpg,138,25983.70299999999,188.28770289855066
102,vehicle_java.jpg,7,529.037,75.57671428571429
102,mupliple_choice_vehicle.jpg,153,21140.373999999945,138.17237908496696
102,rectangle_java.jpg,96,6435.708999999995,67.03863541666662
102,mupliple_choice_rectangle.jpg,13,1339.8480000000025,103.06523076923096
103,vehicle_java.jpg,289,35969.58299999999,124.46222491349478
103,mupliple_choice_vehicle.jpg,0,0.0,0.0
103,rectangle_java.jpg,264,19438.735,73.63157196969698
103,mupliple_choice_rectangle.jpg,57,5102.57799999999,89.51891228070158
104,rectangle_java.jpg,134,18533.258999999984,138.3079029850745
104,mupliple_choice_rectangle.jpg,194,24425.27999999998,125.90350515463908
104,vehicle_java.jpg,84,10823.177000000012,128.8473452380954
104,mupliple_choice_vehicle.jpg,183,30933.54100000001,169.03574316939896
105,rectangle_java2.jpg,196,29472.34400000001,150.36910204081636
105,mupliple_choice_rectangle.jpg,147,27929.77800000001,189.99848979591843
105,vehicle_java2.jpg,189,33492.61499999999,177.20960317460313
105,mupliple_choice_vehicle.jpg,127,25002.038,196.8664409448819
106,vehicle_java2.jpg,542,56184.78700000011,103.66196863468656
106,mupliple_choice_vehicle.jpg,174,20242.395,116.33560344827586
106,rectangle_java2.jpg,183,16814.079999999998,91.88021857923496
106,mupliple_choice_rectangle.jpg,229,31409.437999999995,137.1591179039301
107,rectangle_java.jpg,284,52790.29999999999,185.88133802816898
107,mupliple_choice_rectangle.jpg,64,11575.15099999999,180.86173437499986
107,vehicle_java.jpg,69,8903.311999999985,129.0335072463766
107,mupliple_choice_vehicle.jpg,66,12002.866999999993,181.8616212121211
108,vehicle_java2.jpg,196,26474.536000000004,135.07416326530614
108,mupliple_choice_vehicle.jpg,28,5331.599999999997,190.4142857142856
108,rectangle_java2.jpg,241,34373.62200000002,142.62913692946066
108,mupliple_choice_rectangle.jpg,21,5139.742,244.74961904761906
109,vehicle_python.jpg,158,27938.52699999999,176.8261202531645
109,mupliple_choice_vehicle.jpg,126,21530.14899999999,170.87419841269835
109,rectangle_python.jpg,169,28966.012999999977,171.3965266272188
109,mupliple_choice_rectangle.jpg,86,18618.683999999994,216.49632558139527
10,rectangle_java.jpg,148,28221.71199999998,190.68724324324313
10,mupliple_choice_rectangle.jpg,75,16002.713999999993,213.3695199999999
10,vehicle_java.jpg,161,33560.973,208.45324844720497
10,mupliple_choice_vehicle.jpg,60,14946.925000000008,249.11541666666682
110,rectangle_java2.jpg,151,27517.928999999993,182.23794039735094
110,mupliple_choice_rectangle.jpg,133,24090.11599999999,181.12869172932324
110,vehicle_java2.jpg,138,22955.158999999985,166.34173188405785
