Participant,Task,Fixation Count,Total Fixation Duration [ms],Average Fixation Duration [ms]
P108,0,60,40215.97,670.2661666666667
P164,0,56,28354.920000000002,506.33785714285716
P165,0,42,15427.87,367.3302380952381
P169,0,53,27188.700000000004,512.9943396226416
P193,0,330,137057.77000000002,415.3265757575758
P228,0,73,26087.699999999997,357.3657534246575
P309,0,52,32527.49,625.5286538461539
P313,0,244,120235.77,492.7695491803279
P320,0,116,64840.63999999999,558.9710344827586
P322,0,65,28587.940000000002,439.81446153846156
P327,0,67,36700.45,547.7679104477611
P340,0,61,40758.42,668.1708196721311
P370,0,99,49777.58,502.8038383838384
P372,0,89,50334.61,565.5574157303371
P376,0,122,47919.86000000001,392.7857377049181
P379,0,110,55016.6,500.15090909090907
P382,0,77,31722.96,411.9864935064935
P393,0,103,54770.740000000005,531.7547572815535
P431,0,73,32527.91,445.5878082191781
P435,0,66,31295.629999999997,474.1762121212121
P442,0,71,37013.14,521.3118309859154
P459,0,41,16576.0,404.2926829268293
P490,0,84,54818.63,652.602738095238
P523,0,132,60388.68,457.49
P539,0,99,46327.74,467.9569696969697
P548,0,61,33841.850000000006,554.7844262295083
P561,0,197,147637.63,749.4295939086295
P604,0,56,28535.91,509.5698214285714
P606,0,56,28108.059999999998,501.9296428571428
P620,0,81,44684.84,551.6646913580247
P623,0,55,30918.03,562.146
P627,0,75,34827.869999999995,464.37159999999994
P637,0,428,166654.63,389.379976635514
P641,0,271,143334.32,528.908929889299
P709,0,62,25480.07,410.9688709677419
P718,0,80,38129.26,476.61575000000005
P722,0,112,45291.71,404.3902678571429
P742,0,113,47707.18,422.18743362831856
P745,0,94,44733.55,475.8888297872341
P763,0,339,108508.44,320.08389380530974
P783,0,71,41481.119999999995,584.2411267605634
P785,0,95,40724.28,428.67663157894737
P797,0,104,53521.990000000005,514.6345192307692
P821,0,71,35731.39,503.25901408450704
P825,0,73,41218.04,564.6306849315068
P831,0,347,162176.22,467.3666282420749
P855,0,59,40035.229999999996,678.563220338983
P867,0,116,49283.36,424.85655172413794
P876,0,129,46522.079999999994,360.6362790697674
P901,0,79,30097.149999999998,380.976582278481
P906,0,68,31820.87,467.9539705882353
P920,0,29,16740.28,577.2510344827585
P932,0,109,76537.40000000001,702.1779816513762
P952,0,105,56889.82,541.8078095238095
P963,0,83,34926.14,420.7968674698795
P108,1,444,203363.83000000002,458.0266441441442
P164,1,236,119498.17,506.3481779661017
P165,1,235,106816.16,454.53685106382983
P169,1,487,250694.76,514.77363449692
P193,1,268,106372.19,396.9111567164179
P228,1,59,27223.14,461.40915254237285
P309,1,595,303281.1,509.7161344537815
P313,1,126,52634.88,417.7371428571428
P320,1,70,81285.16,1161.2165714285716
P322,1,92,44876.590000000004,487.7890217391305
P327,1,228,118544.70999999999,519.9329385964912
P340,1,59,35074.270000000004,594.479152542373
P370,1,74,35074.399999999994,473.9783783783783
P372,1,201,99470.7,494.8791044776119
P376,1,324,151137.05,466.47237654320986
P379,1,296,149166.02,503.9392567567567
P382,1,52,20748.539999999997,399.01038461538457
P393,1,154,78344.63999999998,508.73142857142847
P431,1,123,63281.56,514.4842276422764
P435,1,201,117542.85,584.7902985074627
P442,1,115,51302.03,446.1046086956522
P459,1,190,80924.81,425.9200526315789
P490,1,28,22719.97,811.4275
P523,1,635,310979.61,489.73166929133856
P539,1,327,154835.82,473.5040366972477
P548,1,274,140789.69999999998,513.8310218978102
P561,1,605,317239.5,524.3628099173553
P604,1,174,85459.6,491.14712643678166
P606,1,165,86476.20000000001,524.0981818181818
P620,1,269,133610.35,496.69275092936806
P623,1,117,56430.619999999995,482.3129914529914
P627,1,61,29948.609999999997,490.9608196721311
P637,1,257,117508.92,457.23315175097275
P641,1,279,148639.81,532.7591756272401
P709,1,85,32182.74,378.6204705882353
P718,1,102,47016.72,460.94823529411764
P722,1,403,179047.61,444.28687344913146
P742,1,83,39345.28,474.0395180722891
P745,1,98,47361.94,483.28510204081635
P763,1,722,306993.29,425.1984626038781
P783,1,621,315010.68,507.26357487922706
P785,1,199,91881.59,461.71653266331657
P797,1,293,135645.0,462.9522184300341
P821,1,65,32511.47,500.1764615384616
P825,1,62,37189.450000000004,599.8298387096775
P831,1,611,266493.46,436.1595090016367
P855,1,102,49070.93,481.0875490196078
P867,1,129,72742.68,563.8967441860465
P876,1,163,56282.80999999999,345.29331288343553
P901,1,67,30572.75,456.30970149253733
P906,1,42,21766.3,518.245238095238
P920,1,94,43633.18,464.1827659574468
P932,1,334,150972.28999999998,452.0128443113772
P952,1,131,44470.46000000001,339.46916030534356
P963,1,723,257069.21999999997,355.5590871369294
P108,10,84,38129.7,453.92499999999995
P164,10,117,59749.14,510.67641025641024
P165,10,90,50352.28999999999,559.4698888888888
P169,10,64,34630.73999999999,541.1053124999999
P193,10,72,26301.030000000002,365.2920833333334
P228,10,169,71922.43,425.5765088757396
P309,10,75,41563.229999999996,554.1764
P313,10,73,33414.3,457.73013698630143
P320,10,149,77588.87,520.7306711409395
P322,10,110,54705.56,497.3232727272727
P327,10,36,20173.71,560.3808333333333
P340,10,60,31443.79,524.0631666666667
P370,10,71,33694.28,474.56732394366196
P372,10,90,48429.5,538.1055555555556
P376,10,83,46881.47,564.8369879518073
P379,10,79,41808.96,529.2273417721519
P382,10,41,17397.15,424.3207317073171
P393,10,111,50400.63,454.0597297297297
P431,10,88,44077.03,500.8753409090909
P435,10,85,51239.38,602.8162352941176
P442,10,88,37275.259999999995,423.5824999999999
P459,10,85,39164.43,460.758
P490,10,109,68783.45,631.0408256880734
P523,10,110,59041.75,536.7431818181818
P539,10,120,52800.17,440.00141666666667
P548,10,65,30818.539999999997,474.13138461538455
P561,10,143,79543.87999999999,556.250909090909
P604,10,73,35090.58,480.69287671232877
P606,10,74,36551.880000000005,493.9443243243244
P620,10,84,47066.77,560.3186904761905
P623,10,53,31229.98,589.2449056603773
P627,10,180,97321.11,540.6728333333333
P637,10,69,30802.25,446.40942028985506
P641,10,133,100555.04999999999,756.0530075187969
P709,10,71,33070.560000000005,465.78253521126766
P718,10,248,120218.81,484.7532661290322
P722,10,210,95675.96,455.59980952380954
P742,10,109,53653.99,492.23844036697244
P745,10,53,29357.3,553.9113207547169
