Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms]
P108,0,198,35493.82999999998,179.26176767676756
P164,0,69,26654.98999999999,386.3042028985506
P165,0,11,14491.00000000001,1317.3636363636372
P169,0,78,24989.92999999999,320.3837179487178
P193,0,160,127069.93999999993,794.1871249999996
P228,0,22,23888.83,1085.855909090909
P309,0,97,27943.67999999998,288.0791752577317
P313,0,281,104873.53000000004,373.2154092526692
P320,0,169,53632.62000000008,317.35278106508923
P322,0,68,25869.230000000007,380.4298529411766
P327,0,82,34066.74,415.4480487804878
P340,0,93,32697.320000000003,351.5840860215054
P370,0,192,36050.090000000055,187.76088541666695
P372,0,156,42656.640000000014,273.4400000000001
P376,0,51,42065.13999999995,824.8066666666657
P379,0,104,48621.57000000008,467.5150961538469
P382,0,40,28074.19999999999,701.8549999999998
P393,0,118,48144.13999999999,408.0011864406779
P431,0,37,30873.179999999993,834.4102702702701
P435,0,84,27130.690000000024,322.98440476190507
P442,0,82,32452.280000000002,395.759512195122
P459,0,32,16131.850000000011,504.12031250000035
P490,0,118,49251.93000000001,417.38923728813563
P523,0,120,52545.51999999999,437.87933333333325
P539,0,84,41550.850000000035,494.6529761904766
P548,0,112,28434.069999999992,253.87562499999993
P561,0,265,97796.99999999975,369.045283018867
P604,0,71,26055.54000000002,366.97943661971857
P606,0,77,25107.240000000005,326.068051948052
P620,0,132,38278.209999999985,289.9864393939393
P623,0,81,28818.85000000001,355.7882716049384
P627,0,44,31803.909999999996,722.8161363636362
P637,0,189,152330.5399999999,805.9816931216925
P641,0,344,123847.16999999977,360.0208430232551
P709,0,35,24595.59000000001,702.7311428571431
P718,0,101,34295.56999999998,339.5600990099008
P722,0,60,42558.790000000015,709.3131666666669
P742,0,32,43535.85,1360.4953125
P745,0,107,41323.49,386.20084112149533
P763,0,438,180759.51000000033,412.6929452054802
P783,0,120,37313.94000000001,310.94950000000006
P785,0,51,38647.7,757.7980392156862
P797,0,93,49705.13,534.4637634408601
P821,0,82,30389.14,370.5992682926829
P825,0,151,35265.59999999995,233.54701986754932
P831,0,237,148876.21000000008,628.1696624472577
P855,0,117,34220.709999999955,292.48470085470046
P867,0,66,52953.53000000003,802.3262121212125
P876,0,36,45150.69999999997,1254.1861111111102
P901,0,42,28255.620000000006,672.7528571428572
P906,0,76,29383.40999999999,386.62381578947355
P920,0,36,14272.03,396.4452777777778
P932,0,204,59474.47,291.54151960784316
P952,0,160,53152.98,332.20612500000004
P963,0,53,30511.06000000001,575.6803773584908
P108,1,224,195134.47999999986,871.1360714285709
P164,1,264,110850.73000000008,419.8891287878791
P165,1,112,98336.38999999985,878.0034821428559
P169,1,576,219589.81999999983,381.2323263888886
P193,1,97,101347.51999999997,1044.8197938144328
P228,1,26,25561.550000000007,983.1365384615387
P309,1,666,271435.1799999995,407.56033033032963
P313,1,111,47855.819999999985,431.1335135135134
P320,1,68,26751.62000000005,393.40617647058895
P322,1,108,39976.100000000006,370.1490740740741
P327,1,218,106708.34000000016,489.4877981651383
P340,1,90,31179.289999999994,346.43655555555546
P370,1,71,31922.629999999994,449.6145070422534
P372,1,238,90012.35999999994,378.2031932773107
P376,1,1286,88743.60000000049,69.00746500777643
P379,1,299,140871.61000000007,471.14250836120425
P382,1,38,16453.600000000013,432.98947368421085
P393,1,165,68676.84999999999,416.2233333333333
P431,1,102,57164.36999999996,560.4349999999996
P435,1,197,104245.28999999986,529.1639086294409
P442,1,82,48739.409999999974,594.3830487804875
P459,1,114,79305.79000000002,695.6648245614037
P490,1,25,24129.33999999999,965.1735999999996
P523,1,617,287649.8699999997,466.2072447325765
P539,1,242,145438.36999999985,600.9849999999993
P548,1,335,127798.08999999978,381.48683582089484
P561,1,778,287333.5400000006,369.32331619537354
P604,1,196,77539.72000000002,395.6108163265307
P606,1,196,75439.95000000006,384.8977040816329
P620,1,275,122327.02000000009,444.8255272727276
P623,1,137,52223.19000000003,381.1911678832119
P627,1,58,28122.560000000016,484.8717241379313
P637,1,189,106211.76000000005,561.9669841269844
P641,1,376,136032.67000000004,361.7890159574469
P709,1,36,28613.920000000006,794.8311111111112
P718,1,110,40863.59999999998,371.4872727272725
P722,1,254,164567.53,647.9036614173228
P742,1,35,36356.44000000001,1038.7554285714289
P745,1,84,42912.17999999994,510.859285714285
P763,1,409,284323.7400000003,695.1680684596583
P783,1,326,304264.95999999973,933.3280981595084
P785,1,119,87484.84999999998,735.1668067226889
P797,1,253,128787.1699999998,509.0401976284577
P821,1,80,28239.409999999993,352.9926249999999
P825,1,146,32699.179999999986,223.96698630136976
P831,1,345,255045.63999999998,739.2627246376811
P855,1,106,45162.369999999944,426.06009433962214
P867,1,164,67087.15999999993,409.0680487804874
P876,1,37,51571.859999999986,1393.8340540540537
P901,1,58,28896.729999999967,498.21948275862013
P906,1,59,19829.599999999988,336.0949152542371
P920,1,78,42216.409999999974,541.2360256410253
P932,1,214,145779.19999999984,681.2112149532703
P952,1,92,37966.300000000025,412.67717391304376
P963,1,280,249428.4600000001,890.8159285714289
P108,10,66,35375.89000000003,535.9983333333338
P164,10,148,55451.38999999997,374.67155405405384
P165,10,73,44590.63999999997,610.8306849315064
P169,10,105,29803.929999999986,283.84695238095225
P193,10,25,25239.9,1009.596
P228,10,107,68982.01000000002,644.6916822429909
P309,10,127,35929.08000000003,282.9061417322837
P313,10,80,29277.33,365.966625
P320,10,192,69976.17000000003,364.45921875000016
P322,10,102,52363.50999999995,513.3677450980388
P327,10,44,15704.840000000007,356.928181818182
P340,10,71,27772.439999999984,391.16112676056315
P370,10,68,31242.67000000002,459.451029411765
P372,10,144,41196.62000000004,286.08763888888916
P376,10,201,35697.480000000025,177.59940298507476
P379,10,93,37386.960000000036,402.01032258064555
P382,10,27,16840.93,623.7381481481482
P393,10,72,42943.760000000024,596.4411111111115
P431,10,76,37051.43,487.5188157894737
P435,10,141,36866.329999999936,261.46333333333286
P442,10,57,35364.44000000001,620.4287719298247
P459,10,35,36896.320000000014,1054.1805714285717
P490,10,102,63104.20000000008,618.6686274509811
P523,10,133,52924.93999999998,397.931879699248
P539,10,81,50806.890000000014,627.2455555555557
P548,10,83,27847.22000000002,335.5086746987954
P561,10,213,72337.63999999994,339.61333333333306
P604,10,99,31064.85999999997,313.78646464646437
P606,10,95,32722.159999999978,344.443789473684
P620,10,143,40188.15999999999,281.03608391608384
P623,10,102,27829.709999999974,272.8402941176468
P627,10,218,87077.37000000004,399.4374770642204
P637,10,48,28543.70999999999,594.6606249999998
P641,10,186,94664.32,508.94795698924736
P709,10,55,30559.819999999974,555.6330909090905
P718,10,246,107752.75000000001,438.01930894308947
P722,10,150,88782.81,591.8854
P742,10,80,47362.53000000003,592.0316250000003
P745,10,81,27979.260000000017,345.42296296296314
P763,10,69,41931.19000000002,607.6984057971017
P783,10,15,16645.880000000005,1109.7253333333335
P785,10,67,44391.869999999995,662.5652238805969
P797,10,74,24591.379999999997,332.3159459459459
P821,10,73,23888.45000000002,327.2390410958907
P825,10,213,28425.780000000035,133.45436619718328
P831,10,39,23029.72,590.505641025641
P855,10,196,76972.27999999998,392.7157142857142
P867,10,62,25126.499999999996,405.266129032258
P876,10,32,31953.499999999993,998.5468749999998
P901,10,55,26228.17000000001,476.8758181818184
P906,10,96,29212.670000000016,304.2986458333335
P920,10,211,83455.92,395.52568720379145
P932,10,215,241840.21000000014,1124.8381860465122
P952,10,149,39409.98000000001,264.4965100671142
P963,10,56,48350.95000000002,863.4098214285717
P108,2,72,59259.500000000015,823.0486111111113
P164,2,157,63317.78999999986,403.2980254777061
P165,2,244,209379.35999999993,858.1121311475407
P169,2,225,98141.38000000005,436.18391111111134
P193,2,63,53585.11000000002,850.5573015873019
P228,2,78,48316.41000000002,619.4411538461541
P309,2,635,281389.25,443.1326771653543
P313,2,472,184364.18000000017,390.6020762711868
P320,2,719,294267.550000001,409.273365785815
P322,2,63,31214.439999999995,495.4673015873015
